species,mutation_class,response,SE,df,asymp.LCL,asymp.UCL
styphimurium,C->A,178.90701595581177,33.36321603748426,Inf,124.1344383877327,257.8472241380534
bpertussis,C->A,65.83791242945654,12.847804844492881,Inf,44.91279333452205,96.51216037228727
cjejuni,C->A,305.4232287103636,61.287505490072235,Inf,206.1087330773825,452.5928971716124
ecoli,C->A,1109.7584062693222,202.56517990113682,Inf,775.9931285924881,1587.0807033037274
hinfluenzae,C->A,423.3003644058033,80.23571618670506,Inf,291.947751667016,613.7509108494696
kpneumoniae,C->A,2235.9884224809057,406.8966795820092,Inf,1565.2046412669802,3194.243163898113
lmonocytogenesA,C->A,780.4430539823047,143.9569651567583,Inf,543.6663663802752,1120.3403377048137
mtuberculosis,C->A,938.065329308966,171.32081075394666,Inf,655.8075118752112,1341.8061643352773
nmeningitidis,C->A,245.82906080127896,46.38897378235459,Inf,169.82746392571272,355.8430758930341
paeruginosa,C->A,352.773238425056,64.61515901871424,Inf,246.36932361839524,505.13171007305294
sagalactiae,C->A,1449.168206522601,266.39031369490897,Inf,1010.760949199425,2077.730142284692
saureus,C->A,1559.4180978874763,285.47609864501493,Inf,1089.2728805517884,2232.4844833988113
sepidermidis,C->A,1414.8869610916086,259.4195766108085,Inf,987.7656287329554,2026.70051926687
spneumoniae,C->A,560.3403331102204,104.44680966460817,Inf,388.85605953087116,807.448620676942
styphimurium,C->G,55.19639474717664,10.832702133133191,Inf,37.571288685262935,81.0896325278609
bpertussis,C->G,46.28285197908052,9.256053970582952,Inf,31.27442269802167,68.49374672719316
cjejuni,C->G,122.03739819605396,28.62404142366114,Inf,77.06238300237698,193.26065426763225
ecoli,C->G,316.4848050634955,58.47106049037026,Inf,220.339344601428,454.5835062605956
hinfluenzae,C->G,109.02864632828792,22.74299275929832,Inf,72.44075486258197,164.09610505479486
kpneumoniae,C->G,793.6899576848947,144.94008744028784,Inf,554.8917795894356,1135.2551472215812
lmonocytogenesA,C->G,235.97654701074464,44.957393337754304,Inf,162.44300703806005,342.79672455255223
mtuberculosis,C->G,895.0937090053586,163.5157654042507,Inf,625.7069263870201,1280.4600910001848
nmeningitidis,C->G,52.41345137399392,11.08836837326253,Inf,34.62311638172376,79.34496290415245
paeruginosa,C->G,268.6300614747563,49.3305923877621,Inf,187.43123336013429,385.0057892393931
sagalactiae,C->G,217.1043748687464,42.3601454572808,Inf,148.11091694464915,318.2365659431021
saureus,C->G,463.79766783325033,86.44586337724469,Inf,321.8664016356959,668.3154115943796
sepidermidis,C->G,340.5937627762103,64.23688854753568,Inf,235.3411211289722,492.91900491323236
spneumoniae,C->G,136.60386758585483,27.254960687145157,Inf,92.3916615763298,201.97295211535084
styphimurium,C->T,425.19035008299005,78.11354038585783,Inf,296.6234747416761,609.4825568378886
bpertussis,C->T,334.20195962791814,61.693654005486515,Inf,232.74333757403124,479.8889239251106
cjejuni,C->T,3357.7631599707684,617.3732487063602,Inf,2341.7706759679436,4814.5506108520485
ecoli,C->T,5077.557790366865,923.2081036009419,Inf,3555.3987308611295,7251.392900247466
hinfluenzae,C->T,1762.3905676416011,323.60962956884043,Inf,1229.7158951292552,2525.8033381650416
kpneumoniae,C->T,7028.898650144426,1277.3928211480115,Inf,4922.601302698916,10036.444797370572
lmonocytogenesA,C->T,2833.0727738646983,516.799586934153,Inf,1981.45591312487,4050.709021002382
mtuberculosis,C->T,3566.295257640219,648.6708308208408,Inf,2496.8524065350666,5093.798028020721
nmeningitidis,C->T,1718.9630655903343,313.9980733062114,Inf,1201.6555336574338,2458.9692620731357
paeruginosa,C->T,1174.79292804455,213.91688858120358,Inf,822.1799313914232,1678.6330717751753
sagalactiae,C->T,4343.098919468865,792.0281115225807,Inf,3037.8796993925316,6209.10308859941
saureus,C->T,5498.47375682372,1000.9060187561549,Inf,3848.531299801919,7855.7795946820615
sepidermidis,C->T,4693.614252582751,854.9226841932647,Inf,3284.4640006484588,6707.3393855735685
spneumoniae,C->T,2281.4139088228117,417.10514909156285,Inf,1594.3404117876405,3264.5784958397267
styphimurium,T->A,73.64156238653115,14.178580412411495,Inf,50.493663260371925,107.40119374514589
bpertussis,T->A,24.44595827671491,5.762421643417291,Inf,15.401432951968367,38.8019009614628
cjejuni,T->A,95.38003275350059,19.502021090991295,Inf,63.88740824849422,142.3966145672103
ecoli,T->A,600.9045218234311,110.04106712325921,Inf,419.68996512126887,860.3642554177128
hinfluenzae,T->A,112.95862948798492,22.320948105437054,Inf,76.68661289339674,166.38695457238734
kpneumoniae,T->A,1250.7569345344139,228.05982814958992,Inf,874.9172955690734,1788.046615615701
lmonocytogenesA,T->A,389.36058268507446,71.96096960288472,Inf,271.04059506490364,559.3319455063844
mtuberculosis,T->A,251.5976855327581,47.296888831031566,Inf,174.0574079186965,363.6811332673022
nmeningitidis,T->A,25.541730199162785,6.090438427757587,Inf,16.00592864501656,40.75864612641156
paeruginosa,T->A,235.0223947115966,43.58979344231939,Inf,163.394039274085,338.05104679075095
sagalactiae,T->A,312.822112535518,58.418877408432785,Inf,216.93884857858023,451.08414068003117
saureus,T->A,590.6698141110935,108.31082834095287,Inf,412.34466110310234,846.1145789269655
sepidermidis,T->A,731.1315992457533,133.8751180470808,Inf,510.6635043899152,1046.782099798337
spneumoniae,T->A,131.14940008185687,25.35080279271874,Inf,89.79072784411998,191.5583663793335
styphimurium,T->C,165.08172076475464,30.81130380437124,Inf,114.50604206881528,237.99595233825883
bpertussis,T->C,175.35136547165422,33.56822376704854,Inf,120.49254710185095,255.18674899272102
cjejuni,T->C,1035.8814479505147,190.90794937653342,Inf,721.8346417468892,1486.559818757381
ecoli,T->C,1352.6706254201595,246.5821988771188,Inf,946.2896586923472,1933.570555344549
hinfluenzae,T->C,627.5738969746457,115.93205265597292,Inf,436.9401639413186,901.3797052010934
kpneumoniae,T->C,2082.6768053065875,379.1556253113539,Inf,1457.6688619557092,2975.6708046452386
lmonocytogenesA,T->C,930.3171647986925,170.22734392131002,Inf,649.9502103961039,1331.625120317471
mtuberculosis,T->C,2265.2438495773567,413.1007389452272,Inf,1584.4763516409453,3238.501914360437
nmeningitidis,T->C,341.01352246505644,63.645517714716405,Inf,236.54101450935872,491.6281548265049
paeruginosa,T->C,596.4425008207005,109.24571251586815,Inf,416.54377325710914,854.0366694322679
sagalactiae,T->C,1033.834405809415,189.40812892766957,Inf,721.9429842336082,1480.4681283383134
saureus,T->C,1761.339090636305,320.93487413904796,Inf,1232.3807978041555,2517.335062126254
sepidermidis,T->C,964.3883369613699,176.2411747789164,Inf,674.0553625101222,1379.7751879069879
spneumoniae,T->C,534.598767131623,98.6990715092816,Inf,372.2860987120461,767.6779842368146
styphimurium,T->G,97.07308578105395,18.44476461804085,Inf,66.89025327674067,140.87529231007596
bpertussis,T->G,102.77251713590994,20.307943047135087,Inf,69.7716177580019,151.38233307252725
cjejuni,T->G,82.22877580237054,17.051331509560708,Inf,54.76647843650212,123.46186504936746
ecoli,T->G,528.4782609694897,96.88584420427671,Inf,368.95760774576206,756.9684604790322
hinfluenzae,T->G,153.74057488590708,29.76922133002328,Inf,105.18842296964513,224.7030965857339
kpneumoniae,T->G,785.3911199838557,143.5373590839618,Inf,548.9353196286072,1123.701079695199
lmonocytogenesA,T->G,260.35674171948864,48.517334855383915,Inf,180.6957304254464,375.1368823114297
mtuberculosis,T->G,1129.9546844353592,206.89663988182278,Inf,789.2317807841246,1617.7726492575816
nmeningitidis,T->G,105.24084738479604,20.76072532566742,Inf,71.49388757094243,154.91724306192927
paeruginosa,T->G,441.3836185593146,81.08034921637315,Inf,307.931416704373,632.6717189741939
sagalactiae,T->G,271.1781934823156,50.84762426694818,Inf,187.77989721132477,391.6160020983185
saureus,T->G,331.0357900111265,61.14934257524922,Inf,230.48355458534047,475.45558929548287
sepidermidis,T->G,298.24132558050337,55.243267747929785,Inf,207.44342871505333,428.78142168675606
spneumoniae,T->G,199.63197177469007,37.81988827679313,Inf,137.71194800842628,289.3933658698383
